SpecimenID,ShortID,SiteName,MicrositeID,Family,Genus,Species,SppCode,Epithey,Collector,Date.collected,Vegetative.Height,Canopy.W1,Canopy.W2,Max.Height,SA.Leaf1,SA.Leaf2,SA.Leaf3,Stem.Volume,Stem.Biomass,SSD,Biomass.Leaf1,Biomass.Leaf2,Biomass.Leaf3,SLA.Leaf1,SLA.Leaf2,SLA.Leaf3,Root.Biomass,Root.Length,Root.AvgDiam,Root.Volume,SRL,RTD,Soil.pH,pH.Temp,pH.SoilWeight,CN.sampleID,N.shoot,C.shoot,N.root,C.root,flag,Notes,,,,,,,
Oyen-1-PulPat-1-BA,18-001,Oyen,1,Ranunculaceae,Pulsatilla,Pulsatilla patens,Pul pat,Anepat,1,19-Jun-18,30,12.5,10,33,12.9,15.3,18.9,0.5,77.74,155.48,82.405,111.76,138.77,156.543899,136.900501,136.196584,26.74,44.5,0.4946,0.085,1664.17352,314.588235,NA,NA,NA,1,1.84,44.14,0.65,46.68,,,,,,,,,
Oyen-1-PulPat-2-BA,18-002,Oyen,1,Ranunculaceae,Pulsatilla,Pulsatilla patens,Pul pat,Anepat,1,19-Jun-18,28,19.5,15.5,31,9.8,36.7,14.1,0.5,89.33,178.66,56.075,285.225,89.585,174.765939,128.670348,157.392421,20.31,35.7614,0.4561,0.058,1760.77794,350.172414,NA,NA,NA,2,2.23,44.53,0.74,42.43,,,,,,,,,
Oyen-1-PulPat-3-BA,18-003,Oyen,1,Ranunculaceae,Pulsatilla,Pulsatilla patens,Pul pat,Anepat,1,19-Jun-18,28,28.5,23,31.5,40,31.3,48,1,85.92,85.92,280.405,244.885,365.9,142.650809,127.815097,131.183383,27.545,43.8707,0.5383,0.1,1592.69196,275.45,NA,NA,NA,3,2.36,44.54,0.84,45.84,,,,,,,,,
Oyen-1-PulPat-4-BA,18-004,Oyen,1,Ranunculaceae,Pulsatilla,Pulsatilla patens,Pul pat,Anepat,1,19-Jun-18,25.5,23,16,28.5,30.9,23.3,25.6,0.5,89.015,178.03,264.795,170.085,203.36,116.694046,136.990328,125.88513,9.28,21.4943,0.4271,0.031,2316.19612,299.354839,NA,NA,NA,4,2.07,44.42,0.76,50.17,,,,,,,,,
Oyen-1-PulPat-5-BA,18-005,Oyen,1,Ranunculaceae,Pulsatilla,Pulsatilla patens,Pul pat,Anepat,1,19-Jun-18,25,15,14.5,28.5,28.3,19.8,22.6,0.5,84.175,168.35,180.185,132.75,137.98,157.060799,149.152542,163.791854,27.96,88.7513,0.3651,0.093,3174.22389,300.645161,NA,NA,NA,5,2.15,44.65,0.91,47.73,,,,,,,,,
OneFo-1-KoeMac-1-BA,18-006,OneFo,1,Poaceae,Koeleria,Koeleria macrantha,Koe mac,Koemac,1,15-Jun-18,28,1.5,0.5,34.5,0.7,1.4,1.1,1,45.16,45.16,3.76,7.13,7.65,186.170213,196.353436,143.79085,79.565,516.704,0.1825,0.135,6494.11173,589.37037,NA,NA,NA,6,1.47,40.83,0.74,35.72,,,,,,,,,
OneFo-1-KoeMac-2-BA,18-007,OneFo,1,Poaceae,Koeleria,Koeleria macrantha,Koe mac,Koemac,1,15-Jun-18,18.5,3.5,0.5,24.5,0.5,1,1.2,1,43.08,43.08,2.85,5.8,7.855,175.438597,172.413793,152.768937,7.785,101.7189,0.1731,0.024,13066.0116,324.375,NA,NA,NA,7,1.06,40.8,0.68,52.03,,,,,,,,,
OneFo-1-KoeMac-3-BA,18-008,OneFo,1,Poaceae,Koeleria,Koeleria macrantha,Koe mac,Koemac,1,15-Jun-18,26,1,0.5,32.5,0.6,1.1,1,1,58.465,58.465,3.79,5.685,7.015,158.311346,193.491645,142.551675,33.83,212.4137,0.2274,0.086,6278.85605,393.372093,NA,NA,NA,8,1.25,41.67,0.49,45.46,,,,,,,,,
OneFo-1-KoeMac-4-BA,18-009,OneFo,1,Poaceae,Koeleria,Koeleria macrantha,Koe mac,Koemac,1,15-Jun-18,33.5,1,0.5,40,1.6,1.1,0.2,1,58.945,58.945,14.045,8.875,2.095,113.919544,123.943662,95.4653938,30.22,155.0172,0.1983,0.048,5129.62277,629.583333,NA,NA,NA,9,0.99,39.46,0.57,39.52,,,,,,,,,
OneFo-1-KoeMac-5-BA,18-010,OneFo,1,Poaceae,Koeleria,Koeleria macrantha,Koe mac,Koemac,1,15-Jun-18,26.5,0.5,0.5,32.5,0.5,1,1.5,1,39.31,39.31,2.56,5.815,8.81,195.3125,171.969046,170.261067,13.455,58.2656,0.2349,0.025,4330.40505,538.2,NA,NA,NA,10,1.05,40.95,0.53,52.3,,,,,,,,,
OneFo-1-SphCoc-1-BA,18-011,OneFo,1,Malvaceae,Sphaeralcea,Sphaeralcea coccinea,Sph coc,Sphcoc,1,15-Jun-18,6,10,5,11,3.1,4.8,3.6,0.5,70.375,140.75,36.215,45.855,33.16,85.5998896,104.677789,108.564536,5.565,10.2386,0.2016,0.003,1839.82031,1855,NA,NA,NA,11,1.78,42.29,NA,NA,,,,,,,,,
OneFo-1-SphCoc-2-BA,18-012,OneFo,1,Malvaceae,Sphaeralcea,Sphaeralcea coccinea,Sph coc,Sphcoc,1,15-Jun-18,9.5,16.5,9.5,13,6.2,3.7,5.7,0.5,110.885,221.77,70.325,48.1,64.75,88.1621045,76.9230769,88.030888,7.07,20.5455,0.294,0.014,2906.01132,505,NA,NA,NA,12,2.31,42.84,1.09,52.02,,,,,,,,,
OneFo-1-SphCoc-3-BA,18-013,OneFo,1,Malvaceae,Sphaeralcea,Sphaeralcea coccinea,Sph coc,Sphcoc,1,15-Jun-18,6.5,11.5,8.5,9,6.4,5.1,3.4,0.5,40.84,81.68,66.85,56.33,48.64,95.736724,90.5379017,69.9013158,41.43,8.1009,0.8462,0.046,195.532223,900.652174,NA,NA,NA,13,2.07,41.89,0.69,48.04,,,,,,,,,
OneFo-1-SphCoc-4-BA,18-014,OneFo,1,Malvaceae,Sphaeralcea,Sphaeralcea coccinea,Sph coc,Sphcoc,1,15-Jun-18,7.5,14,11.5,11,3.9,3.2,3.1,0.5,77.07,154.14,44.625,51.065,37.04,87.394958,62.6652306,83.6933045,63.01,33.5805,0.6467,0.11,532.939216,572.818182,NA,NA,NA,14,2.02,43.13,0.91,45.03,,,,,,,,,
OneFo-1-SphCoc-5-BA,18-015,OneFo,1,Malvaceae,Sphaeralcea,Sphaeralcea coccinea,Sph coc,Sphcoc,1,15-Jun-18,8,11.5,7,11,3.5,5.3,4.9,0.5,87.355,174.71,53.545,67.025,53.425,65.3655804,79.074972,91.7173608,5.755,12.9327,0.2426,0.006,2247.21112,959.166667,NA,NA,NA,15,1.9,42.73,NA,NA,,,,,,,,,
TwinR-1-AchMil-1-BA,18-016,TwinR,1,Asteraceae,Achillea,Achillea millefolium,Ach mil,Achmil,1,14-Jun-18,22.5,6,3.5,25.5,3.6,3.1,2,1,117.415,117.415,33.965,25.61,17.6,105.991462,121.046466,113.636364,38.9,133.0233,0.3077,0.099,3419.62211,392.929293,NA,NA,NA,16,2.04,42.8,1.02,46.01,,,,,,,,,
TwinR-1-AchMil-2-BA,18-017,TwinR,1,Asteraceae,Achillea,Achillea millefolium,Ach mil,Achmil,1,14-Jun-18,20,6.5,2.5,21.5,3.8,3,1.5,0.5,87.075,174.15,37.28,28.69,14.605,101.931331,104.566051,102.704553,28.3,93.7591,0.3466,0.088,3313.0424,321.590909,NA,NA,NA,17,1.75,43.71,0.85,47.53,,,,,,,,,
TwinR-1-AchMil-3-BA,18-018,TwinR,1,Asteraceae,Achillea,Achillea millefolium,Ach mil,Achmil,1,14-Jun-18,27,8,2.5,30,4.5,4.8,2.6,0.5,124.665,249.33,36.7,33.82,23.315,122.615804,141.927853,111.516191,41.9,166.2583,0.2997,0.117,3967.97852,358.119658,NA,NA,NA,18,1.76,41.29,0.87,43.3,,,,,,,,,
TwinR-1-AchMil-4-BA,18-019,TwinR,1,Asteraceae,Achillea,Achillea millefolium,Ach mil,Achmil,1,14-Jun-18,26,7,4.5,28.5,5.1,4.6,2.3,0.5,121.055,242.11,48.21,39.25,19.35,105.787181,117.197452,118.863049,22.2,93.5671,0.3079,0.07,4214.73423,317.142857,NA,NA,NA,19,1.91,43.61,0.78,47.22,,,,,,,,,
TwinR-1-AchMil-5-BA,18-020,TwinR,1,Asteraceae,Achillea,Achillea millefolium,Ach mil,Achmil,1,14-Jun-18,21,9,6,24.5,3.2,2.1,1.9,0.5,133.005,266.01,21.4,16.005,14.99,149.53271,131.208997,126.751167,27.02,99.7432,0.2972,0.069,3691.45818,391.594203,NA,NA,NA,20,NA,NA,NA,NA,NA,,,,,,,,
Stave-1-GalBor-1-BA,18-021,Stave,1,Rubiaceae,Galium,Galium boreale,Gal bor,Galbor,1,13-Jun-18,39,14,7,42.5,1.5,0.4,0.7,1,113.59,113.59,NA,NA,NA,NA,NA,NA,6.425,64.1432,0.2131,0.023,9983.37743,279.347826,NA,NA,NA,21,2.18,44.45,1.03,54.31,,"Had to hold plant to meter stick, it was impossible nto to with the wind",,,,,,,
Stave-1-GalBor-2-BA,18-022,Stave,1,Rubiaceae,Galium,Galium boreale,Gal bor,Galbor,1,13-Jun-18,34.5,6,6,36,1.9,1.5,0.8,1,129.605,129.605,NA,NA,NA,NA,NA,NA,49.665,314.4078,0.2295,0.13,6330.57083,382.038462,NA,NA,NA,22,NA,NA,1.17,45.71,NA,,,,,,,,
Stave-1-GalBor-3-BA,18-023,Stave,1,Rubiaceae,Galium,Galium boreale,Gal bor,Galbor,1,13-Jun-18,31.5,7.5,6,33.5,1.7,1.1,1.4,0.8,106.4,133,NA,NA,NA,NA,NA,NA,13,205.7295,0.1399,0.032,15825.3462,406.25,NA,NA,NA,23,1.95,44.65,0.9,50.29,,,,,,,,,
Stave-1-GalBor-4-BA,18-024,Stave,1,Rubiaceae,Galium,Galium boreale,Gal bor,Galbor,1,13-Jun-18,30,6,3.5,32,1.1,1,0.6,1,84.37,84.37,NA,NA,NA,NA,NA,NA,3.66,104.2304,0.1159,0.011,28478.2514,332.727273,NA,NA,NA,24,1.76,45.08,0.49,57.13,,,,,,,,,
Stave-1-GalBor-5-BA,18-025,Stave,1,Rubiaceae,Galium,Galium boreale,Gal bor,Galbor,1,13-Jun-18,37,13.5,7.5,42.5,1.5,1,1.3,1,129.96,129.96,NA,NA,NA,NA,NA,NA,12.33,130.0912,0.1967,0.04,10550.7867,308.25,NA,NA,NA,25,1.95,45.36,1.28,49.97,,,,,,,,,
Matth-1-ArtFri-1-BA,18-026,Mat,1,Asteraceae,Artemisia,Artemisia frigida,Art fri,Artfri,1,18-Jun-18,25.5,20.5,16,25.5,0.5,0.7,0.8,0.5,141.27,282.54,2.95,4.56,4.875,169.491525,153.508772,164.102564,19.615,61.0958,0.3486,0.058,3114.74892,338.189655,NA,NA,NA,26,1.71,45.63,0.84,52.86,,No flower,,,,,,,
Matth-1-ArtFri-2-BA,18-027,Mat,1,Asteraceae,Artemisia,Artemisia frigida,Art fri,Artfri,1,18-Jun-18,17,20,18,17,0.4,0.5,0.5,0.5,41.875,83.75,2.25,2.57,2.48,177.777778,194.552529,201.612903,60.21,120.9058,0.3382,0.109,2008.06843,552.385321,NA,NA,NA,27,1.93,47.12,0.84,50.52,,No flower,,,,,,,
Matth-1-ArtFri-3-BA,18-028,Mat,1,Asteraceae,Artemisia,Artemisia frigida,Art fri,Artfri,1,18-Jun-18,23,10,2.2,23,0.7,0.5,0.6,0.5,48.68,97.36,4.805,4.825,3.98,145.681582,103.626943,150.753769,30.315,66.6071,0.3588,0.067,2197.16642,452.462687,NA,NA,NA,28,2.05,47.11,0.72,53.97,,No flower,,,,,,,
Matth-1-ArtFri-4-BA,18-029,Mat,1,Asteraceae,Artemisia,Artemisia frigida,Art fri,Artfri,1,18-Jun-18,23.5,19,10,23.5,0.8,0.8,0.9,0.5,86.5,173,7.625,7.48,6.655,104.918033,106.951872,135.236664,50.66,108.602,0.3051,0.079,2143.7426,641.265823,NA,NA,NA,29,2.19,46.53,0.88,47.7,,No flower,,,,,,,
Matth-1-ArtFri-5-BA,18-030,Mat,1,Asteraceae,Artemisia,Artemisia frigida,Art fri,Artfri,1,18-Jun-18,19,27,20,19,0.7,0.9,0.7,NA,69.045,NA,5.975,7.685,6.36,117.154812,117.111256,110.062893,32.07,58.6291,0.4247,0.083,1828.16027,386.385542,NA,NA,NA,30,1.86,46.81,0.77,51.8,,No flower,,,,,,,
Matth-1-HesCom-1-BA,18-031,Mat,1,Hesperostipa,Hesperostipa,Hesperostipa comata,Hes com,Hescom,1,18-Jun-18,16,36,10,33,1.7,1.6,1.4,0.5,69.18,138.36,10.11,11.74,8.475,168.150346,136.286201,165.19174,15.525,52.4295,0.3248,0.043,3377.10145,361.046512,NA,NA,NA,31,2.9,46.32,0.6,49.66,,,,,,,,,
Matth-1-HesCom-2-BA,18-032,Mat,1,Hesperostipa,Hesperostipa,Hesperostipa comata,Hes com,Hescom,1,18-Jun-18,16.5,10,4.5,41.5,1.2,1.3,1.3,0.5,51.53,103.06,6.625,6.85,7.015,181.132076,189.781022,185.317178,7.04,58.4808,0.2977,0.041,8306.93182,171.707317,NA,NA,NA,32,1.72,42.99,0.53,52.25,,,,,,,,,
Matth-1-HesCom-3-BA,18-033,Mat,1,Hesperostipa,Hesperostipa,Hesperostipa comata,Hes com,Hescom,1,18-Jun-18,23.5,12,6,47.5,1.2,1.8,1.3,0.5,60.98,121.96,6.235,10.115,7.1,192.461909,177.953534,183.098592,8.86,54.7884,0.3271,0.046,6183.79233,192.608696,NA,NA,NA,33,2,43.9,0.51,48,,,,,,,,,
