Community,Achmil ,Agrcri,Agrdas,Agrsca,Andsep,Antneg,Antmic,Aradiv,Artfri,Artlud,Astagr,Astfle,Bougra,Broine,Camrot,Carspp,Cerarv,Chealb,Cirarv,Cirvul,Collin,Comumb,Elacom,Elytra,Ericae,Erigla,Eryinc,Polcon,Feshal,Fravir,Gaiari,Galbor,Genama,Geuale,Geutri,Sticur,Koemac,Lactat,Stivir,Ortlut,Oxycam,Passmi,Pengra,Poaint,Poapra,Potcon,Potpen,Anepat,Rosark,Rubocc,Silvery.hairy.mustard,Sismon,Solmis,Sonarv,Astfal,Astlae,Taroff,Thaven,Therho,Tradub,Vicame,Vioadu,Weed.1
ANR 2,0.034883721,0,0,0.348837209,0,0,0,0,0,0.058139535,0,0,0,0,0.034883721,0.034883721,0,0,0,0,0,0,0.11627907,0,0.011627907,0.034883721,0.011627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011627907,0.011627907,0,0.058139535,0,0,0,0.093023256,0,0,0.011627907,0.034883721,0.058139535,0,0.034883721,0,0,0,0,0,0,0
NNR2 2,0.024390244,0,0.008130081,0.024390244,0,0,0,0,0,0.081300813,0,0,0.008130081,0,0.008130081,0.162601626,0,0,0,0,0,0,0,0,0,0,0,0.008130081,0.024390244,0,0,0,0,0,0.008130081,0.040650407,0,0,0,0,0,0.024390244,0,0.008130081,0.284552846,0,0,0,0.162601626,0,0,0,0.040650407,0.008130081,0.024390244,0,0.008130081,0,0,0,0.040650407,0,0
ANR 3,0.164835165,0,0,0.21978022,0.010989011,0,0.010989011,0,0.10989011,0,0,0.054945055,0.087912088,0.10989011,0,0.010989011,0.010989011,0.010989011,0.010989011,0,0,0,0,0,0,0,0,0,0.010989011,0,0,0,0,0,0,0.010989011,0,0,0,0,0.010989011,0,0,0,0.054945055,0.010989011,0,0.032967033,0,0,0,0,0,0,0,0.010989011,0,0,0.032967033,0,0,0,0.010989011
NNR2 3,0.03030303,0,0.01010101,0.03030303,0,0,0.03030303,0,0.01010101,0,0,0,0.03030303,0.03030303,0,0.101010101,0.01010101,0,0,0,0,0.03030303,0,0.01010101,0.01010101,0,0,0,0.151515152,0,0,0,0,0,0,0.080808081,0,0,0,0,0,0.03030303,0,0,0.303030303,0,0,0,0,0,0,0,0,0,0.050505051,0.050505051,0,0,0,0,0,0,0
ANR 4,0.148148148,0,0,0.148148148,0.018518519,0,0,0,0.185185185,0,0,0.092592593,0,0,0,0.018518519,0.018518519,0.018518519,0,0,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0.018518519,0,0,0,0.055555556,0.018518519,0,0,0.018518519,0,0,0.018518519,0,0,0.018518519,0.055555556,0,0,0.055555556,0,0,0,0.018518519
NNR2 4,0,0,0.009090909,0.009090909,0,0,0,0,0.009090909,0,0,0.027272727,0.027272727,0,0.009090909,0.227272727,0,0,0,0,0,0.009090909,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0.363636364,0.009090909,0,0,0,0,0,0.009090909,0,0.045454545,0,0,0.045454545,0.009090909,0,0,0,0.027272727,0,0.009090909,0.027272727,0.009090909,0,0.027272727,0,0,0,0
ANR 5,0.03125,0,0.010416667,0.104166667,0,0,0,0,0.083333333,0.083333333,0,0.083333333,0,0,0,0.03125,0,0,0,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0,0.03125,0,0,0,0,0,0,0,0.03125,0,0.010416667,0,0.010416667,0,0.052083333,0,0.010416667,0,0
NNR2 5,0.025423729,0,0.025423729,0,0,0,0,0,0,0.025423729,0,0,0,0.084745763,0.06779661,0.084745763,0,0,0,0.025423729,0,0.008474576,0,0.025423729,0,0.025423729,0,0,0,0,0,0,0,0.042372881,0,0.042372881,0,0,0,0,0,0,0.008474576,0.025423729,0.254237288,0.008474576,0,0,0.008474576,0,0,0,0,0,0.025423729,0.084745763,0,0,0.06779661,0,0.008474576,0.025423729,0
ANR 6,0.015873016,0,0,0.317460317,0,0,0,0.015873016,0.047619048,0.238095238,0,0,0,0,0,0,0.015873016,0.015873016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079365079,0,0,0,0.047619048,0,0,0,0.015873016,0,0,0.079365079,0,0.079365079,0.015873016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015873016,0,0,0
NNR2 6,0,0,0.084033613,0,0,0,0,0.008403361,0.12605042,0.042016807,0,0,0,0,0,0.12605042,0,0,0,0,0.008403361,0.042016807,0,0,0,0,0,0.008403361,0,0,0,0.025210084,0,0,0,0.084033613,0.067226891,0,0.210084034,0,0,0,0.008403361,0,0,0,0,0,0,0,0,0,0,0,0.12605042,0.025210084,0,0,0.008403361,0,0,0,0
