,NNR2 2,NNR2 3,NNR2 4,NNR2 5,NNR2 6,NNR2 7,NNR2 11,NNR2 12,NNR2 14,NNR2 15,NNR2 16,NNR2 17
Ach mil,3,8,0,3,0,0,3,0,5,0,3,8
Agr das,3,0,0,0,0,3,0,3,0,3,3,0
Agr sca,0,0,10,0,0,0,0,0,0,0,0,0
Ant neg,0,0,0,0,0,0,0,0,10,0,0,0
Ant par,0,3,0,0,0,5,0,0,0,0,0,0
Art fri,0,10,0,0,3,0,5,0,0,25,0,0
Art lud,0,0,0,8,8,0,10,30,5,8,10,20
Ast agr,0,0,0,0,0,0,5,0,3,0,5,3
Ast fal,0,3,8,0,15,25,10,8,8,0,5,5
Ast lae,0,5,3,30,0,0,5,3,0,0,0,0
Bou gra,0,15,0,18,5,0,0,0,0,5,0,0
Cam rot,0,0,0,0,0,1,0,0,0,0,0,0
Car spp,20,20,25,8,20,15,10,8,10,25,30,20
Cer arv,0,3,5,5,0,3,0,0,0,0,0,0
Com umb,0,0,0,1,3,1,0,10,0,5,0,3
Dan int,0,0,0,0,0,0,0,0,0,0,0,8
Ely tra,0,0,0,0,0,0,3,0,3,0,3,15
Eri cae,0,0,0,0,0,0,0,0,0,0,3,0
Fal con,0,0,0,0,3,0,0,0,0,0,0,0
Fes hal,0,0,0,0,0,0,0,0,8,10,5,8
Gal bor,0,0,0,0,5,0,0,5,5,5,0,0
Geu tri,0,0,0,0,0,0,0,10,3,0,0,5
Hes cur,25,25,70,30,40,45,40,35,35,30,15,20
Koe mac,0,0,0,3,10,10,0,0,0,3,0,0
Nas vir,0,0,0,0,20,0,0,0,0,0,0,0
Oxy cam,0,0,3,0,0,0,0,0,0,0,0,0
Pas smi,3,5,0,0,0,0,5,0,0,0,0,0
Pen gra,0,0,3,0,0,3,0,0,0,0,0,0
Poa int,0,0,0,3,0,3,0,0,0,0,0,0
Poa pra,50,40,0,40,0,20,35,35,20,30,55,25
Pot arg,0,0,5,0,0,0,0,0,0,0,0,0
Pot con,0,0,3,0,0,0,3,0,0,0,0,0
Pot hip,0,0,0,0,0,0,8,3,0,0,0,0
Ros ark,15,0,5,10,3,5,0,3,0,3,8,10
Sol mis,0,0,3,0,0,3,5,3,3,0,8,5
Tar off,1,0,0,0,3,0,1,0,0,3,0,1
The rho,0,0,0,0,8,0,0,0,0,0,0,0
Tra dub,0,0,0,0,1,0,0,0,0,0,0,0
Vio adu,0,3,0,0,3,0,0,0,0,0,0,0
