Species,Achmil ,Agr cri,Agr das,Agr sca,And sep,Ant neg,Ant par,Boe div,Art fri,Art lud,Ast agr,Ast fle,Bou gra,Bro ine,Cam rot,Car spp,Cer arv,Che alb,Cir arv,Cir vul,Col lin,Com umb,Ela com,Ely tra,Eri cae,Eri gla,Ery inc,Fal con,Fes hal,Fra vir,Gai ari,Gal bor,Gen ama,Geu ale,Geu tri,Hes cur,Koe mac,Mul pul,Nas vir,Ort lut,Oxy cam,Pas smi,Pen gra,Poa int,Poa pra,Pot con,Pot hip,Pul nut,Ros ark,Rub occ,Silvery hairy mustard,Sis mon,Sol mis,Son arv,Sym fal,Sym lae,Tar off,Tha ven,The rho,Tra dub,Vic ame,Vio adu,Weed 1
ANR (Dist) 2,3,0,0,30,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,0,0,0,10,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,8,0,0,1,3,5,0,3,0,0,0,0,0,0,0
NNR2 (Undist) 2,3,0,1,3,0,0,0,0,0,10,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,5,0,0,0,0,0,3,0,1,35,0,0,0,20,0,0,0,5,1,3,0,1,0,0,0,5,0,0
ANR (Dist) 3,15,0,0,20,1,0,1,0,10,0,0,5,8,10,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1
NNR2 (Undist) 3,3,0,1,3,0,0,3,0,1,0,0,0,3,3,0,10,1,0,0,0,0,3,0,1,1,0,0,0,15,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,30,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
ANR (Dist) 4,8,0,0,8,1,0,0,0,10,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,1,0,0,1,3,0,0,3,0,0,0,1
NNR2 (Undist) 4,0,0,1,1,0,0,0,0,1,0,0,3,3,0,1,25,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,40,1,0,0,0,0,0,1,0,5,0,0,5,1,0,0,0,3,0,1,3,1,0,3,0,0,0,0
ANR (Dist) 5,3,0,1,10,0,0,0,0,8,8,0,8,0,0,0,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,1,0,1,0,5,0,1,0,0
NNR2 (Undist) 5,3,0,3,0,0,0,0,0,0,3,0,0,0,10,8,10,0,0,0,3,0,1,0,3,0,3,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,1,3,30,1,0,0,1,0,0,0,0,0,3,10,0,0,8,0,1,3,0
ANR (Dist) 6,1,0,0,20,0,0,0,1,3,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,1,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NNR2 (Undist) 6,0,0,10,0,0,0,0,1,15,5,0,0,0,0,0,15,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,3,0,0,0,10,8,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,1,0,0,0,0
ANR (Dist) 7,5,0,1,20,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,1,0,3,0,3,1,0,0,3,1,0,0,0
